,ngram,comment,label
0,ne ma,"Bhai achha hua un randwo ne Arjun Reddy pe review nhi diya wrna Sandeep wanga
sir ap<ng>ne ma</ng>sterpiece pe in liberals ka reaction dekh Arjun reddy se jyada pina
shuru kr dete😂",CAG
1,ne ma,All it takes is o<ng>ne ma</ng>layali woman to bring down the entire nation.,CAG
2,ne ma,"I am a doctor and I have come across many Homosexual gays as my patients...
All those are having multiple partners... I could not find a o<ng>ne ma</ng>n guy up
till now... So it won't be a good decision to include them in Indian army...
Otherwise those gays and lesbians will find only their new partners there and
it will destroy the descipline of Indian army...",CAG
3,ne ma,How can someo<ng>ne ma</ng>ke this stuff assholes,CAG
4,gence,"Government waiting to interfere with all it's intelli<ng>gence</ng> to keep her mouth
shut for ever",CAG
5,gence,"I don't have problem with the love part of film but with the gross negli<ng>gence</ng>
in his profession that too as a doctor",CAG
6,gence,"Yes his license cancelled for five years but is that enough for all his
negli<ng>gence</ng>",CAG
7,gence,"The main point of the movie was about a guy with anger issues who is unable to
move on from someone whom he truly loved. They are separated because of the
prevailing stereotypes. Sandeep Reddy Vanga has studied psychology himself,
and he beautifully presented a story about a brilliant and intelligent
surgeon’s downfall and his resur<ng>gence</ng>. The scene where he doesn’t want to
plead not guilty because his professionalism is the only thing his father
respected about him is very emotional and brings out the good nature of
Kabir/Arjun.  
  
But liberals ko ye nahi dikhega. We live in a country where student life in
college is shown in expensive cars, flashy dance numbers, with all the
students looking like they just finished FHM or Maxim photoshoot but despise a
film about a true and genuine love story!",CAG
8, try,"bro bro....😂😂😂just<ng> try</ng> and replace the girl with ur sister or anyone close to
ya..",CAG
9, try,"As a lesbian, I wouldn't say it'll ""completely"" contribute to reduction in
population. They need to legalize 2 children policy like China did. Also, all
couples should adopt at least 1 orphan instead of<ng> try</ng>ing to reproduce. Only
25% of orphans are being adopted and others will be 18 then kicked out.
They'll become homeless. Rural areas should stop reproducing lots of children.",CAG
10, try,"I agree with you but I have a point too. Before elaborating my point, I want
to let you know that I'm here after seeing the ""Joker Movie analysis"". I
firmly believe the male character in Kabir Singh was irresponsible and doesn't
have any reflection with real life or practicality. As you said in the later
part of this video, ""if you're in relationship and your partner is self
derogating then run as fast as possible."" Don't you think this line defy your
Joker analysis, where you appraised/empathize Joker's mental state and called
the movie INCREDIBLE. But in this part you said to run ftom such type of
person, if we all keep running from person who're mentally ill then were would
our generation will end up. I'm not saying this all because I like Kabir
Singh, I'm saying this because I have depression, anxiety and personality
disorder. In the movie ""principal"" told the class about his Anger management
issue.
Kabir also has emotional/mental issues but I guess you didn't observed him
precisely as much as you observed Joker. As per WHO, one in every 20 Indian
suffer from depression; 5 out of 100.
Hope you understand what I'm<ng> try</ng>ing to say. Peace ☮️",CAG
11, try,"Hitesh Kumar see here in youtube some misandrists are commenting using fake
I'd.Some female misandrists are a snake of two face that means they says that
498 must be banned but they work for developing laws against men.This type of
misandrists are just a spy of radical misandrists.They are doing drama of
gender equality at daylight but at a secure time they change their form.Those
are the misandrists in the coat of gender [equality.Be](http://equality.be/)
careful from them and<ng> try</ng> to identify them.They just watching us to provide
the informations to the local misandrists in the form of gender
[equality.Like](http://equality.like/) a spy uses beard so that he cannot be
identified.Sometimes those misandrists make id using photo and name of the
boys",CAG
12, try,"The so called feminists<ng> try</ng> to be superior. They are afraid of equality.
Please,bring equality. That's important and beneficial for society.",CAG
13, try,"First stop aborting and killing daughters before birth and stop throughing
them in dustbins then you will have many people for<ng> try</ng>ing",CAG
14, try,"Sb pagal sexual tharki log hain gay, lesbians.
Dats pure lust not love..i wonder if mother nd father needs any law to show
their love?
My brother, my father loves me widout any law imposed by sme gay cji deepak
mishra.
U dont need to be gay or lesbian to love sme1..u only<ng> try</ng>ing to satisfy ur
fuckin sexual realtion by hiding behind sme LGBT laws.",CAG
15, try,"@Samy ThakurYou are just turning a blind eye on the real issue.Feminism now
doesnt mean equal rights,now it's just a way to spread hate.check any recent
event and while we are at it liberalism too has become just a word but what
these liberals are doing is<ng> try</ng>ing to break India",CAG
16, try,"Is Arundhati in league with the Wahabi  
Groups<ng> try</ng>ing to dismember India?",CAG
17, try,@ajay singh By using this trick they are<ng> try</ng>ing to divide us..,CAG
18,nk it,"What the fck ""his"" lol stupid i thi<ng>nk it</ng>s her",CAG
19,nk it,"My previous comment:  
  
I don't thi<ng>nk it</ng>'s right to forcefully insert topics of feminism and liberals
in every video,  
it shakes the moral purpose of the video i.e. movie review.  
  
  
  
  
  
After watching for 5 mins:  
  
  
  
Your videos are great. You are great !  
  
Jai Hind ! Vande Mataram 🇮🇳🇮🇳🇮🇳",CAG
20,nk it,"your views are biased,,,,,but the funny thing is you thi<ng>nk it</ng>s not biased",CAG
21,nk it,"From the first time I have felt Kabir Singh is one of top chutiya movie. Top
worst movie. But I am shocked to see males reaction. They thi<ng>nk it</ng>'s best.
Aisa hi hai most of Indian guys . Chutiya",CAG
22,nk it,I thi<ng>nk it</ng>'s not movie review only lecture on feminism...🤐🤐🤐,CAG
23,nk it,"With all due respect sir, I don't agree with you. I hope you take my opinion
positively and provide feedback. There are many things wrong with this movie
like kabir Singh marks preeti as his territory without asking her, are we all
guys not taught to ask girls out properly. There are many guys who thi<ng>nk it</ng>'s
okay to act this way, because preeti did not have a problem. But what if a
girl says no, guys will take on their ego and harass a girl till she says Yes.
I have sisters who faced this. This sends out a very wrong message, and guys
learn it indirectly. That's why everyone is fighting for it. There are a lot
of things wrong with other movies too, but Lets not take that and defend this
movie. Lets pinpoint stuff if anything is wrong to get better content which
can be entertaining.",CAG
